country,cases,todayCases,deaths,todayDeaths,recovered
USA,111820082,0,1219487,0,109814428
India,45035393,0,533570,0,0
France,40138560,0,167642,0,39970918
Germany,38828995,0,183027,0,38240600
Brazil,38743918,0,711380,0,36249161
S. Korea,34571873,0,35934,0,34535939
Japan,33803572,0,74694,0,0
Italy,26723249,0,196487,0,26361218
UK,24910387,0,232112,0,24678275
Russia,24124215,0,402756,0,23545818
Turkey,17232066,0,102174,0,0
Spain,13914811,0,121760,0,13762417
Australia,11853144,0,24414,0,11820014
Vietnam,11625195,0,43206,0,10640971
Taiwan,10241523,0,19005,0,10222518
Argentina,10128845,0,130841,0,9997258
Netherlands,8635786,0,22992,0,8612599
Mexico,7702809,0,334958,0,6899865
Iran,7627186,0,146811,0,0
Indonesia,6829221,0,162063,0,6647104
Poland,6661991,0,120598,0,0
Colombia,6400173,0,143200,0,6212152
Greece,6101379,0,37869,0,0
Austria,6081287,0,22542,0,6054934
Portugal,5643062,0,28126,0,5614809
Ukraine,5557995,0,112418,0,5445577
Chile,5384853,0,64497,0,5252450
Malaysia,5278406,0,37348,0,5233268
Canada,4946090,0,59034,0,4881312
Belgium,4861695,0,34376,0,4826798
Israel,4841772,0,12707,0,4798473
N. Korea,4772813,0,74,0,4772739
Thailand,4770149,0,34586,0,4692636
Czechia,4759041,0,43517,0,4715206
Peru,4572667,0,222161,0,4350506
Switzerland,4453053,0,14452,0,4438309
Philippines,4140383,0,66864,0,4067381
South Africa,4076463,0,102595,0,3912506
Romania,3529735,0,68929,0,3460149
Denmark,3183756,0,8814,0,3174942
Singapore,3006155,0,2024,0,3004131
Hong Kong,2937609,0,14924,0,2916005
Sweden,2754129,0,27407,0,2726492
New Zealand,2621111,0,5697,0,2613791
Serbia,2615054,0,18057,0,2596608
Iraq,2465545,0,25375,0,2439497
Hungary,2230232,0,49048,0,2152155
Bangladesh,2049377,0,29493,0,0
Slovakia,1877605,0,21224,0,1856381
Georgia,1861665,0,17132,0,0
Jordan,1746997,0,14122,0,1731007
Ireland,1734582,0,9491,0,1724921
Pakistan,1581936,0,30664,0,1538689
Finland,1516117,0,11958,0,1503989
Norway,1509732,0,6638,0,1503094
Kazakhstan,1411831,0,13848,0,1383020
Lithuania,1397806,0,9897,0,1387478
Slovenia,1356546,0,7100,0,1349424
Bulgaria,1339851,0,38748,0,1292944
Croatia,1309728,0,18687,0,1258432
Guatemala,1291293,0,20289,0,1269891
Morocco,1278992,0,16303,0,0
Lebanon,1243838,0,10952,0,1087587
Costa Rica,1238883,0,9428,0,0
Bolivia,1212131,0,22407,0,1177145
Tunisia,1153361,0,29423,0,0
Cuba,1115251,0,8530,0,1106660
Ecuador,1070188,0,36043,0,1034145
UAE,1067030,0,2349,0,0
Panama,1059893,0,8727,0,1051102
Uruguay,1041111,0,7664,0,1030944
Mongolia,1011496,0,2284,0,1009212
Nepal,1003450,0,12031,0,991322
Belarus,994037,0,7118,0,985592
Latvia,982505,0,6715,0,971406
Saudi Arabia,841469,0,9646,0,0
Paraguay,837602,0,20155,0,0
Azerbaijan,835234,0,10400,0,824089
Bahrain,729549,0,1574,0,727915
Cyprus,681110,0,1365,0,679745
Dominican Republic,675890,0,4384,0,671316
Sri Lanka,672754,0,16897,0,655852
Kuwait,667158,0,2570,0,0
Myanmar,641873,0,19495,0,620159
Moldova,635145,0,12218,0,0
Estonia,628070,0,3001,0,0
Palestine,621008,0,5404,0,615445
Venezuela,552695,0,5856,0,546537
Egypt,516023,0,24613,0,442182
Qatar,514524,0,690,0,513687
Libyan Arab Jamahiriya,507274,0,6437,0,500835
China,503302,0,5272,0,379053
Ethiopia,501157,0,7574,0,488171
Réunion,494595,0,921,0,0
Honduras,474590,0,11165,0,0
Armenia,451831,0,8777,0,435162
Bosnia,403615,0,16388,0,379084
Oman,399449,0,4628,0,0
Luxembourg,391232,0,1232,0,0
Macedonia,350567,0,9976,0,337068
Zambia,349304,0,4069,0,341316
Kenya,344130,0,5689,0,337309
Brunei,343719,0,225,0,243601
Albania,334863,0,3605,0,330233
Botswana,330638,0,2801,0,327049
Montenegro,296542,0,2846,0,291794
Algeria,272010,0,6881,0,183061
Nigeria,267188,0,3155,0,259953
Zimbabwe,266359,0,5740,0,258888
Uzbekistan,253662,0,1637,0,241486
Afghanistan,234174,0,7996,0,211080
Mozambique,233731,0,2250,0,228805
Martinique,230354,0,1102,0,0
Lao People's Democratic Republic,218970,0,758,0,0
Iceland,209906,0,229,0,0
Kyrgyzstan,206897,0,2991,0,196406
Guadeloupe,203235,0,1021,0,0
El Salvador,201855,0,4230,0,179410
Trinidad and Tobago,191496,0,4390,0,187078
Maldives,186694,0,316,0,163687
Namibia,172389,0,4106,0,167099
Uganda,172149,0,3632,0,100431
Ghana,171889,0,1462,0,170425
Jamaica,156869,0,3756,0,0
Cambodia,139103,0,3056,0,136044
Rwanda,133518,0,1468,0,132039
Cameroon,125379,0,1974,0,123280
Malta,121420,0,885,0,120149
Barbados,110578,0,648,0,108647
Angola,107327,0,1937,0,103419
Channel Islands,101717,0,228,0,101321
DRC,99338,0,1468,0,84489
French Guiana,98041,0,420,0,11254
Malawi,89535,0,2686,0,0
Senegal,89053,0,1971,0,87024
Côte d'Ivoire,88384,0,835,0,87497
Suriname,82588,0,1408,0,0
New Caledonia,80064,0,314,0,0
French Polynesia,79254,0,650,0,0
Swaziland,75191,0,1427,0,73116
Guyana,74137,0,1300,0,72013
Belize,71409,0,688,0,0
Fiji,69117,0,885,0,67226
Madagascar,68486,0,1426,0,66862
Cabo Verde,64477,0,417,0,63755
Sudan,63993,0,5046,0,58947
Mauritania,63848,0,997,0,62471
Bhutan,62697,0,21,0,61564
Syrian Arab Republic,57743,0,3165,0,54578
Burundi,54721,0,38,0,53569
Seychelles,51220,0,172,0,51048
Gabon,49051,0,307,0,48674
Andorra,48015,0,165,0,0
Papua New Guinea,46864,0,670,0,46168
Curaçao,45986,0,295,0,44720
Aruba,44224,0,292,0,42438
Tanzania,43223,0,846,0,0
Mauritius,43025,0,1051,0,41278
Mayotte,42027,0,188,0,0
Togo,39572,0,290,0,39281
Guinea,38572,0,468,0,37757
Bahamas,38084,0,844,0,36366
Isle of Man,38008,0,116,0,0
Lesotho,36138,0,723,0,25980
Haiti,34667,0,860,0,33734
Faroe Islands,34658,0,28,0,0
Mali,33164,0,743,0,32332
Cayman Islands,31472,0,37,0,8553
Saint Lucia,30215,0,410,0,29805
Benin,28036,0,163,0,27847
Macao,27673,0,123,0,3487
Somalia,27334,0,1361,0,13182
Micronesia,26547,0,65,0,0
San Marino,26185,0,128,0,26011
Solomon Islands,25954,0,199,0,0
Congo,25375,0,386,0,24006
Timor-Leste,23460,0,138,0,23102
Burkina Faso,22114,0,400,0,21596
Liechtenstein,21574,0,94,0,0
Gibraltar,20550,0,113,0,0
Grenada,19693,0,238,0,19358
Bermuda,18860,0,165,0,18685
South Sudan,18819,0,147,0,18115
Nicaragua,18491,0,225,0,4225
Tajikistan,17786,0,125,0,17264
Equatorial Guinea,17229,0,183,0,16907
Monaco,17181,0,67,0,0
Samoa,17006,0,31,0,1605
Tonga,16950,0,13,0,15638
Marshall Islands,16138,0,17,0,16121
Dominica,16038,0,74,0,15964
Djibouti,15690,0,189,0,15427
Central African Republic,15440,0,113,0,15200
Gambia,12626,0,372,0,12189
Saint Martin,12324,0,63,0,0
Vanuatu,12019,0,14,0,11976
Greenland,11971,0,21,0,2761
Yemen,11945,0,2159,0,9124
Caribbean Netherlands,11682,0,38,0,10476
Sint Maarten,11051,0,92,0,10905
Eritrea,10189,0,103,0,10086
Niger,9931,0,312,0,8890
Saint Vincent and the Grenadines,9674,0,124,0,9493
Guinea-Bissau,9614,0,177,0,8929
Comoros,9109,0,161,0,8939
Antigua and Barbuda,9106,0,146,0,8954
Liberia,8090,0,295,0,7783
Sierra Leone,7779,0,126,0,0
Chad,7701,0,194,0,4874
British Virgin Islands,7392,0,64,0,0
Cook Islands,7203,0,2,0,7150
Sao Tome and Principe,6778,0,80,0,6685
Turks and Caicos Islands,6752,0,40,0,6709
Saint Kitts and Nevis,6607,0,48,0,6559
Palau,6290,0,10,0,6276
St. Barth,5507,0,6,0,0
Nauru,5393,0,1,0,5347
Kiribati,5085,0,24,0,2703
Anguilla,3904,0,12,0,0
Wallis and Futuna,3550,0,8,0,438
Saint Pierre Miquelon,3452,0,2,0,2449
Tuvalu,2943,0,1,0,0
Saint Helena,2166,0,0,0,2
Falkland Islands (Malvinas),1930,0,0,0,1930
Montserrat,1403,0,8,0,1376
Niue,1059,0,0,0,1056
Diamond Princess,712,0,13,0,699
Tokelau,80,0,0,0,0
Holy See (Vatican City State),29,0,0,0,29
Western Sahara,10,0,1,0,9
MS Zaandam,9,0,2,0,7
